url;country;date;Zustand;Fahrzeughalter;HU Prüfung;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Getriebeart;Hubraum;Leergewicht;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;Zylinder;Antriebsart;Andere Energieträger;HU/AU neu;Länderversion;Gänge;Letzter Kundendienst
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/audi-a3-benzin-grau-987ec5fa-0633-4e50-b868-a166fc230b4e?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-golf-benzin-weiss-91c22378-2ac6-44e0-a064-99caec213cd9?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/audi-a3-benzin-schwarz-936441e9-5706-40c2-93d7-0ac058c6810f?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-passat-diesel-schwarz-f65b9597-2c07-4623-8d4e-ebb2346b99e6?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volvo-xc60-benzin-weiss-a38174d3-4e3f-437d-8a58-5129723e064c?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/bmw-320-d-touring-a-sport-line-led-diesel-grau-602422bf-5cb0-4a48-9d4d-1a0f4a36730c?;Deutschland;2020-10-19 18:01:47.874666;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;2;10/2022;;;;BMW;320;B02319019331;2016;Grau;Metallic;MINERALGRAU METALLIC;Stoff, Grau;Kombi;5;5;0005/CDK;Automatik;1.995 cm³;1.605 kg;Diesel;4,1 l/100 km (komb)4,9 l/100 km (innerorts)3,7 l/100 km (außerorts);109 g CO2/km (komb);Euro 6;4 (Grün);BMW 320;140 kW / 190 PS;95.016 km;Automatik;4.1 l/100 km (komb);Händler;49 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;84503 Altötting;17900;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notrufsystem', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportpaket', 'Sportsitze', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Zentralverriegelung'];;;;;;;
/angebote/opel-corsa-1-3-cdti-cosmo-klima-diesel-f540a732-9801-45e3-a811-2b8323c479f1?;Deutschland;2020-10-19 18:01:47.875699;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;03/2020;;;;Opel;Corsa;;2005;Nicht angegeben;;;;Kleinwagen;2;5;0035/520;Schaltgetriebe;1.248 cm³;;Diesel;4,4 l/100 km (komb)5,7 l/100 km (innerorts)3,7 l/100 km (außerorts);119 g CO2/km (komb);Euro 4;;Opel Corsa;51 kW / 69 PS;172.000 km;Schaltgetriebe;4.4 l/100 km (komb);Händler;6 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;38226 Salzgitter;890;['', 'ABS', 'Elektr. Fensterheber', 'Klimaanlage', 'Komfort', 'Servolenkung', 'Sicherheit', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;
/angebote/bmw-530-d-xdrive-touring-sport-aut-m-sportpaket-diesel-schwarz-303079c4-bb69-4abd-aac7-6fc06c240e1a?;Deutschland;2020-10-19 18:01:47.883389;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;;;;BMW;530;12669;2018;Schwarz;Metallic;Carbonschwarz;Vollleder, Schwarz;Kombi;5;5;0005/COT;Automatik;2.993 cm³;;Diesel;5,8 l/100 km (komb)7 l/100 km (innerorts)5,1 l/100 km (außerorts);153 g CO2/km (komb);Euro 6;4 (Grün);BMW 530;195 kW / 265 PS;97.843 km;Automatik;5.8 l/100 km (komb);Händler;59 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;90763 Fürth;35999;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];6;Allrad;;;;;
/angebote/bmw-745-e-aut-tv-laser-massage-upe-132-866-eur-elektro-benzin-schwarz-e9ab9d9a-11d7-49fb-9236-aaf7f7a80edb?;Deutschland;2020-10-19 18:01:47.879117;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;;;;BMW;745;12678;2019;Schwarz;Metallic;Saphirschwarz;Vollleder, Schwarz;Limousine;4;5;0005/CUT;Automatik;2.998 cm³;;Elektro/Benzin;2,1 l/100 km (komb);48 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);BMW 745;290 kW / 394 PS;27.400 km;Automatik;2.1 l/100 km (komb);Händler;67 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;90763 Fürth;69799;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Massagesitze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzbelüftung', 'Sitzheizung', 'Soundsystem', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'TV', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];4;Heck;Strom;;;;
