url;country;date;Zustand;Fahrzeughalter;HU/AU neu;Garantie;Scheckheftgepflegt;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Länderversion;Getriebeart;Gänge;Hubraum;Leergewicht;Antriebsart;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;HU Prüfung;Nichtraucherfahrzeug;Zylinder;Andere Energieträger
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-caddy-2-0-tdi-trendline-klima-navi-diesel-silber-9b249d82-6e69-4207-b37c-774481b7e21a?;Deutschland;2020-10-19 18:02:25.566916;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;Ja;12 Monate;;Volkswagen;Caddy;3567;2018;Silber;Metallic;Reflexsilber Metallic;Stoff, Schwarz;Van/Kleinbus;5;5;0603/BSV;Deutsche Ausführung;Schaltgetriebe;5;1.968 cm³;1.457 kg;Front;Diesel;4,8 l/100 km (komb)5,7 l/100 km (innerorts)4,3 l/100 km (außerorts);122 g CO2/km (komb);Euro 6;4 (Grün);Volkswagen Caddy;75 kW / 102 PS;45.450 km;Schaltgetriebe;4.8 l/100 km (komb);Händler;44 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;09376 Oelsnitz/Erzg.;17889;['', 'ABS', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Reifendruckkontrollsystem', 'Schiebetür', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];;;;
/angebote/audi-a3-1-4-tfsi-125-ps-automatik-ambiente-leder-shz-benzin-schwarz-27e0b973-109f-4570-b33f-58883256750d?;Deutschland;2020-10-19 18:02:25.568476;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;;;Audi;A3;421-A;2009;Schwarz;Metallic;Brillantschwarz;Vollleder, Beige;Limousine;2;5;;Deutsche Ausführung;Automatik;;1.395 cm³;;Front;Benzin;5,9 l/100 km (komb)7,6 l/100 km (innerorts)4,9 l/100 km (außerorts);138 g CO2/km (komb);Euro 5;4 (Grün);Audi A3;92 kW / 125 PS;74.966 km;Automatik;5.9 l/100 km (komb);Händler;29 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;14513 Teltow;9499;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'Radio', 'Regensensor', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];03/2021;;4;
/angebote/volkswagen-passat-cc-2-0-tdi-140-ps-r-line-bluetdi-r-kamera-shz-diesel-silber-1fd8729b-df89-4c98-9279-984c70cec84b?;Deutschland;2020-10-19 18:02:25.571111;Gebraucht;2;;;;Volkswagen;Passat;444-K3;2014;Silber;Metallic;Reflexsilber Metallic;Alcantara, Schwarz;Coupé;4;4;;Deutsche Ausführung;Automatik;;1.968 cm³;;Front;Diesel (Rußpartikelfilter);4,7 l/100 km (komb)5,8 l/100 km (innerorts)4 l/100 km (außerorts);137 g CO2/km (komb);Euro 6;4 (Grün);;;;;;;;;;;;;;True;False;14513 Teltow;14999;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Nebelscheinwerfer', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];04/2022;;4;
/angebote/bmw-320-d-touring-a-sport-line-led-diesel-grau-602422bf-5cb0-4a48-9d4d-1a0f4a36730c?;Deutschland;2020-10-19 18:02:25.569949;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;2;;;;BMW;320;B02319019331;2016;Grau;Metallic;MINERALGRAU METALLIC;Stoff, Grau;Kombi;5;5;0005/CDK;;Automatik;;1.995 cm³;1.605 kg;;Diesel;4,1 l/100 km (komb)4,9 l/100 km (innerorts)3,7 l/100 km (außerorts);109 g CO2/km (komb);Euro 6;4 (Grün);BMW 320;140 kW / 190 PS;95.016 km;Automatik;4.1 l/100 km (komb);Händler;49 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;84503 Altötting;17900;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notrufsystem', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportpaket', 'Sportsitze', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Zentralverriegelung'];10/2022;;;
/angebote/opel-adam-glam-ecoflex-benzin-violett-b2a60f3e-4b3b-447e-9278-87c0d7edf37e?;Deutschland;2020-10-19 18:02:25.574941;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;;;Opel;Adam;;2013;Violett;Metallic;Samtrot (P2)/Berry Red (P2);Stoff;Kleinwagen;3;4;0035/AWJ;Deutsche Ausführung;Schaltgetriebe;5;1.229 cm³;1.086 kg;Front;Benzin;4,9 l/100 km (komb)6,3 l/100 km (innerorts)4,1 l/100 km (außerorts);116 g CO2/km (komb);Euro 5;4 (Grün);Opel Adam;51 kW / 69 PS;23.128 km;Schaltgetriebe;4.9 l/100 km (komb);Händler;36 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;46242 Bottrop;7990;['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Tagfahrlicht', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Pannenkit', 'Panoramadach', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];05/2022;;4;Super Plus 98
/angebote/volkswagen-passat-variant-passat-1-8-tsi-160-ps-autom-variant-comfortline-benzin-braun-a88f042c-1c95-4b3e-b300-08d02ed9bd09?;Deutschland;2020-10-19 18:02:25.567846;Gebraucht;1;;;;Volkswagen;Passat Variant;446-K-P2;2008;Braun;Metallic;Mocca-Anthrazit Perleffekt;Stoff, Schwarz;Kombi;4;5;;Deutsche Ausführung;Automatik;6;1.798 cm³;;Front;Super 95;8,4 l/100 km (komb)11,4 l/100 km (innerorts)6,5 l/100 km (außerorts);199 g CO2/km (komb);Euro 4;4 (Grün);;;;;;;;;;;;;;True;False;14513 Teltow;6999;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];10/2021;;4;
/angebote/volkswagen-golf-sportsvan-1-2-tsi-bmt-comfortline-benzin-grau-091deacf-7a3b-4ab3-8b8c-1f4f269fc4be?;Deutschland;2020-10-19 18:02:25.574950;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;2;Ja;12 Monate;;Volkswagen;Golf Sportsvan;17196B;2014;Grau;Metallic;Limestone Grey Metallic;Stoff, Schwarz;Limousine;5;5;0603/BMU;Deutsche Ausführung;Schaltgetriebe;6;1.197 cm³;1.324 kg;Front;Benzin;5,1 l/100 km (komb)6,3 l/100 km (innerorts)4,4 l/100 km (außerorts);121 g CO2/km (komb);Euro 6;4 (Grün);Volkswagen Golf Sportsvan;81 kW / 110 PS;68.853 km;Schaltgetriebe;5.1 l/100 km (komb);Händler;43 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;16321 Bernau;11450;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Touchscreen', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];;;;
/angebote/bmw-745-e-aut-tv-laser-massage-upe-132-866-eur-elektro-benzin-schwarz-e9ab9d9a-11d7-49fb-9236-aaf7f7a80edb?;Deutschland;2020-10-19 18:02:25.574697;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;;;BMW;745;12678;2019;Schwarz;Metallic;Saphirschwarz;Vollleder, Schwarz;Limousine;4;5;0005/CUT;;Automatik;;2.998 cm³;;Heck;Elektro/Benzin;2,1 l/100 km (komb);48 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);BMW 745;290 kW / 394 PS;27.400 km;Automatik;2.1 l/100 km (komb);Händler;67 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;90763 Fürth;69799;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Massagesitze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzbelüftung', 'Sitzheizung', 'Soundsystem', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'TV', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;;4;Strom
/angebote/volkswagen-golf-vii-highline-1-4-tsi-led-navi-acc-benzin-grau-72ab643d-968c-44e0-9e6e-6c484d5125ce?;Deutschland;2020-10-19 18:02:25.569402;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;;;Volkswagen;Golf;50027577;2017;Grau;Metallic;Indiumgrau Metallic;Velours, Schwarz;Limousine;4;5;0603/BPF;Deutsche Ausführung;Schaltgetriebe;6;1.395 cm³;;Front;Benzin;0 l/100 km (komb)0 l/100 km (innerorts)0 l/100 km (außerorts);0 g CO2/km (komb);Euro 6;4 (Grün);Volkswagen Golf;92 kW / 125 PS;43.304 km;Schaltgetriebe;0.0 l/100 km (komb);Händler;49 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;33699 Bielefeld;15680;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Massagesitze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];;;4;
