url;country;date;Zustand;Verfügbarkeit;HU Prüfung;HU/AU neu;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Länderversion;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Antriebsart;Kraftstoff;Andere Energieträger;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;haendler;privat;ort;price;ausstattung_liste;Fahrzeughalter;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;"StromverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Letzter Kundendienst
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-34c5429a-927f-430d-ad3f-52cf3ff44023?;Deutschland;2020-10-19 18:03:29.125092;Tageszulassung;In 2 Tagen ab Bestellung;10/2022;Ja;60 Monate;;;Toyota;C-HR;R011518_2633;2020;Grau;Metallic;Marlingrau metallic / Dach sch;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/AOF;Deutsche Ausführung;Automatik;1;1.987 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Strom;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;;;;;;;
/angebote/audi-a3-attraction-navi-xenon-pdc-sitzheizung-alu-16-diesel-grau-d59ba58c-4aba-4d3e-b642-af407d1f61c0?;Deutschland;2020-10-19 18:03:29.126264;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;06/2021;;;;;Audi;A3;2190;2014;Grau;Metallic;Monsungrau Metallic;Schwarz;Limousine;3;5;0588/AVN;Deutsche Ausführung;Automatik;7;1.598 cm³;4;1.250 kg;Front;Diesel;;3,9 l/100 km (komb)4,8 l/100 km (innerorts)3,4 l/100 km (außerorts);102 g CO2/km (komb);Euro 5;4 (Grün);True;False;56564 Neuwied;12890;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Ambientebeleuchtung', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Innenspiegel automatisch abblendend', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Start/Stop-Automatik', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];2;Audi A3;77 kW / 105 PS;73.721 km;Automatik;3.9 l/100 km (komb);Händler;40 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-ec714092-45ed-4d4e-a00d-4cbef7a132c0?;Deutschland;2020-10-19 18:03:29.131783;Tageszulassung;In 2 Tagen ab Bestellung;10/2022;Ja;60 Monate;;;Toyota;C-HR;R016911_2634;2020;Grau;Metallic;Metalstreamgrau metallic / Dac;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/AOF;Deutsche Ausführung;Automatik;1;1.987 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Strom;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;;;;;;;
/angebote/toyota-c-hr-hybrid-team-deutschland-ax1-elektro-benzin-schwarz-640bdbac-bbee-4141-a4b5-4445d5366be6?;Deutschland;2020-10-19 18:03:29.125737;Tageszulassung;In 1 Tag ab Bestellung;10/2022;Ja;60 Monate;;;Toyota;C-HR;R036152_2624;2020;Schwarz;;Mysticschwarz Mica;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/ALE;Deutsche Ausführung;Automatik;1;1.798 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95;Strom;3,8 l/100 km (komb)3,2 l/100 km (innerorts)4,2 l/100 km (außerorts);86 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;24555;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;;;;;;;
/angebote/audi-a3-1-4-tfsi-125-ps-automatik-ambiente-leder-shz-benzin-schwarz-27e0b973-109f-4570-b33f-58883256750d?;Deutschland;2020-10-19 18:03:29.133739;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;03/2021;;;;;Audi;A3;421-A;2009;Schwarz;Metallic;Brillantschwarz;Vollleder, Beige;Limousine;2;5;;Deutsche Ausführung;Automatik;;1.395 cm³;4;;Front;Benzin;;5,9 l/100 km (komb)7,6 l/100 km (innerorts)4,9 l/100 km (außerorts);138 g CO2/km (komb);Euro 5;4 (Grün);True;False;14513 Teltow;9499;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'Radio', 'Regensensor', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];1;Audi A3;92 kW / 125 PS;74.966 km;Automatik;5.9 l/100 km (komb);Händler;29 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
/angebote/volkswagen-golf-sportsvan-1-0-tsi-iq-drive-6d-temp-ahk-navi-acc-benzin-silber-1622ad6a-748d-4cbe-a93e-1eeeb7a6a415?;Deutschland;2020-10-19 18:03:29.131465;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;Ja;60 Monate;;;Volkswagen;Golf Sportsvan;3216-20;2019;Silber;Metallic;Reflexsilber Metallic;Stoff, Schwarz;Van/Kleinbus;4;5;0603/BVX;Deutsche Ausführung;Schaltgetriebe;;999 cm³;3;;Front;Benzin;;5,1 l/100 km (komb)5,8 l/100 km (innerorts)4,7 l/100 km (außerorts);115 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);True;False;91058 Erlangen;18960;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];1;Volkswagen Golf Sportsvan;85 kW / 116 PS;13.950 km;Schaltgetriebe;5.1 l/100 km (komb);Händler;52 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
/angebote/bmw-520-d-touring-a-navi-prof-2xled-kamera-4z-klima-diesel-blau-a23accd2-d7de-40d8-a01f-e4a0adb4378f?;Deutschland;2020-10-19 18:03:29.128123;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;Ja;;;;BMW;520;5516;2018;Blau;Metallic;BLUESTONE METALLIC;Stoff, Schwarz;Kombi;5;5;0005/COR;Deutsche Ausführung;Automatik;8;1.995 cm³;4;1.735 kg;Heck;Diesel;;;;Euro 6;4 (Grün);True;False;86343 Königsbrunn;25750;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Luftfederung', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Skisack', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];1;BMW 520;140 kW / 190 PS;122.500 km;Automatik;Nicht angegeben;Händler;59 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
/angebote/audi-q7-3-0-tdi-quattro-tiptronic-s-line-exterieur-panora-diesel-schwarz-97f79777-e7c8-4c95-9ce2-bc02d3d313d2?;Deutschland;2020-10-19 18:03:29.137306;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;Ja;12 Monate;;;Audi;Q7;22417;2015;Schwarz;Metallic;Orcaschwarz Metallic;Vollleder, Braun;Sonstige;4;5;0588/BDM;Deutsche Ausführung;Automatik;;2.967 cm³;6;1.375 kg;Allrad;Diesel;;6,1 l/100 km (komb)6,5 l/100 km (innerorts)5,4 l/100 km (außerorts);159 g CO2/km (komb);Euro 6;4 (Grün);True;False;47803 Krefeld;37879;['', 'ABS', 'Abstandstempomat', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lordosenstütze', 'Luftfederung', 'MP3', 'Massagesitze', 'Multifunktionslenkrad', 'Nachtsicht-Assistent', 'Navigationssystem', 'Notbremsassistent', 'Panoramadach', 'Radio', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzbelüftung', 'Sitzheizung', 'Soundsystem', 'Sportpaket', 'Spurhalteassistent', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];2;Audi Q7;200 kW / 272 PS;89.900 km;Automatik;6.1 l/100 km (komb);Händler;65 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
/angebote/hyundai-i20-hyundai-1-2-pdc-hinten-klima-sitzheizung-vorne-benzin-silber-b7b12bf3-8d3a-4b7c-b174-793956a369bf?;Deutschland;2020-10-19 18:03:29.128121;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;;;;;Hyundai;i20;16439-2;2017;Silber;Metallic;Silber;Stoff, Grau;Limousine;5;5;5984/AAW;;Schaltgetriebe;5;1.248 cm³;4;1.055 kg;;Benzin;;5,1 l/100 km (komb)6,6 l/100 km (innerorts)4,2 l/100 km (außerorts);121 g CO2/km (komb);Euro 6;4 (Grün);True;False;27472 Cuxhaven;10490;['', 'ABS', 'Alarmanlage', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'Einparkhilfe', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];1;Hyundai i20;62 kW / 84 PS;40.218 km;Schaltgetriebe;5.1 l/100 km (komb);Händler;28 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
