url;country;date;Zustand;Fahrzeughalter;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;Scheckheftgepflegt;Länderversion;Antriebsart;Verfügbarkeit;HU Prüfung;HU/AU neu;Garantie;Nichtraucherfahrzeug;Andere Energieträger;"StromverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Letzter Kundendienst
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/hyundai-i20-hyundai-1-2-pdc-hinten-klima-sitzheizung-vorne-benzin-silber-b7b12bf3-8d3a-4b7c-b174-793956a369bf?;Deutschland;2020-10-19 18:03:34.369923;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;Hyundai;i20;16439-2;2017;Silber;Metallic;Silber;Stoff, Grau;Limousine;5;5;5984/AAW;Schaltgetriebe;5;1.248 cm³;4;1.055 kg;Benzin;5,1 l/100 km (komb)6,6 l/100 km (innerorts)4,2 l/100 km (außerorts);121 g CO2/km (komb);Euro 6;4 (Grün);Hyundai i20;62 kW / 84 PS;40.218 km;Schaltgetriebe;5.1 l/100 km (komb);Händler;28 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;27472 Cuxhaven;10490;['', 'ABS', 'Alarmanlage', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'Einparkhilfe', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;;
/angebote/mercedes-benz-glc-43-amg-mercedes-amg-glc-43-4matic-pano-ils-standheiz-a-benzin-schwarz-f9e65d95-57a9-46cb-a4be-07558a710129?;Deutschland;2020-10-19 18:03:34.377039;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;2;Mercedes-Benz;GLC 43 AMG;582320;2017;Schwarz;Metallic;obsidianschwarz;Sonstige, Schwarz;SUV/Geländewagen/Pickup;5;5;1313/FHI;Automatik;9;2.996 cm³;6;1.845 kg;Benzin;8,7 l/100 km (komb)11,2 l/100 km (innerorts)7,3 l/100 km (außerorts);199 g CO2/km (komb);Euro 6;4 (Grün);Mercedes-Benz GLC 43 AMG;270 kW / 367 PS;57.100 km;Automatik;8.7 l/100 km (komb);Händler;56 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;57339 Erndtebrück;45490;['', 'ABS', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Luftfederung', 'Multifunktionslenkrad', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Panoramadach', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportfahrwerk', 'Sportpaket', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Traktionskontrolle', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Deutsche Ausführung;Allrad;;;;;;;;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-34c5429a-927f-430d-ad3f-52cf3ff44023?;Deutschland;2020-10-19 18:03:34.365426;Tageszulassung;;Toyota;C-HR;R011518_2633;2020;Grau;Metallic;Marlingrau metallic / Dach sch;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/AOF;Automatik;1;1.987 cm³;4;1.420 kg;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Deutsche Ausführung;Front;In 2 Tagen ab Bestellung;10/2022;Ja;60 Monate;;Strom;;
/angebote/toyota-c-hr-hybrid-team-deutschland-ax1-elektro-benzin-schwarz-640bdbac-bbee-4141-a4b5-4445d5366be6?;Deutschland;2020-10-19 18:03:34.366751;Tageszulassung;;Toyota;C-HR;R036152_2624;2020;Schwarz;;Mysticschwarz Mica;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/ALE;Automatik;1;1.798 cm³;4;1.420 kg;Super 95 / Super Plus 98 / Super E10 95;3,8 l/100 km (komb)3,2 l/100 km (innerorts)4,2 l/100 km (außerorts);86 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;66953 Pirmasens;24555;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Deutsche Ausführung;Front;In 1 Tag ab Bestellung;10/2022;Ja;60 Monate;;Strom;;
/angebote/bmw-520-d-touring-a-navi-prof-2xled-kamera-4z-klima-diesel-blau-a23accd2-d7de-40d8-a01f-e4a0adb4378f?;Deutschland;2020-10-19 18:03:34.370318;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;BMW;520;5516;2018;Blau;Metallic;BLUESTONE METALLIC;Stoff, Schwarz;Kombi;5;5;0005/COR;Automatik;8;1.995 cm³;4;1.735 kg;Diesel;;;Euro 6;4 (Grün);BMW 520;140 kW / 190 PS;122.500 km;Automatik;Nicht angegeben;Händler;59 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;86343 Königsbrunn;25750;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Luftfederung', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Skisack', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;Deutsche Ausführung;Heck;;;Ja;;;;;
/angebote/hyundai-i20-hyundai-1-2-klima-multifunktionslenkrad-usb-u-benzin-grau-82e648fe-e76d-4e37-9f30-025b34079f8d?;Deutschland;2020-10-19 18:03:34.368294;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;Hyundai;i20;16443-2;2019;Grau;Metallic;Grau;Stoff, Grau;Limousine;5;5;5984/AAX;Schaltgetriebe;5;1.248 cm³;4;1.233 kg;Benzin;5,8 l/100 km (komb)7,2 l/100 km (innerorts)4,9 l/100 km (außerorts);;Euro 6d-TEMP;4 (Grün);Hyundai i20;55 kW / 75 PS;36.008 km;Schaltgetriebe;5.8 l/100 km (komb);Händler;20 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;27472 Cuxhaven;9990;['', 'ABS', 'Alarmanlage', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'ESP', 'Elektr. Fensterheber', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Komfort', 'Multifunktionslenkrad', 'Notbremsassistent', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;;
/angebote/iveco-daily-35s17-l2h2-hi-matic-3-5t-ahk-navi-klima1hd-diesel-gelb-4aa38944-a587-4a27-ac44-6f403a255051?;Deutschland;2020-10-19 18:03:34.366033;Gebraucht;;Iveco;Daily;;2016;Gelb;;YELLOW RAL1018 IC037;;Transporter;;3;;Automatik;;2.998 cm³;;;Diesel (Rußpartikelfilter);;;Euro 5;4 (Grün);;;;;;;;;;;;;;True;False;97346 Iphofen;20648;['', 'ABS', 'Anhängerkupplung', 'ESP', 'Extras', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Navigationssystem', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Tempomat', 'Zentralverriegelung'];;;;;08/2022;;;;;;
/angebote/toyota-corolla-1-8-hybrid-club-elektro-benzin-schwarz-1ace33d6-2bb1-4b17-bd86-87c44b1a978b?;Deutschland;2020-10-19 18:03:34.374406;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;Toyota;Corolla;17337_1261;2019;Schwarz;Metallic;Mysticschwarz Mica;Stoff;Limousine;5;5;5013/AMU;Automatik;1;1.798 cm³;4;1.360 kg;Elektro/Benzin;3,3 l/100 km (komb)3,6 l/100 km (innerorts)3,2 l/100 km (außerorts);76 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Toyota Corolla;90 kW / 122 PS;15.550 km;Automatik;3.3 l/100 km (komb);Händler;50 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;66953 Pirmasens;20995;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Nebelscheinwerfer', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Deutsche Ausführung;Front;In 2 Tagen ab Bestellung;10/2022;Ja;24 Monate;;Strom;;
/angebote/iveco-daily-35s17-l2h2-hi-matic-3-5t-ahk-navi-klima1hd-diesel-gelb-30a4be39-ff03-4e5c-892c-3aa39ec8c720?;Deutschland;2020-10-19 18:03:34.372338;Gebraucht;1;Iveco;Daily;;2016;Gelb;;YELLOW RAL1018 IC037;Stoff, Schwarz;Van/Kleinbus;4;3;;Automatik;;2.998 cm³;;;Diesel (Rußpartikelfilter);;;Euro 5;4 (Grün);;;;;;;;;;;;;;True;False;97346 Iphofen;20648;['', 'ABS', 'Anhängerkupplung', 'Armlehne', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'Lordosenstütze', 'Luftfederung', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;Deutsche Ausführung;;;08/2022;;;;;;
