url;country;date;Zustand;HU Prüfung;Scheckheftgepflegt;Marke;Modell;Erstzulassung;Außenfarbe;Farbe laut Hersteller;Karosserieform;Sitzplätze;Getriebeart;Hubraum;Kraftstoff;Schadstoffklasse;Feinstaubplakette;haendler;privat;ort;price;ausstattung_liste;Fahrzeughalter;HU/AU neu;Garantie;Angebotsnummer;Innenausstattung;Anzahl Türen;Schlüsselnummer;Länderversion;Gänge;Zylinder;Leergewicht;Antriebsart;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;Verfügbarkeit;Nichtraucherfahrzeug;Andere Energieträger;Lackierung;"StromverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Letzter Kundendienst
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/iveco-daily-35s17-l2h2-hi-matic-3-5t-ahk-navi-klima1hd-diesel-gelb-4aa38944-a587-4a27-ac44-6f403a255051?;Deutschland;2020-10-19 18:03:39.603023;Gebraucht;08/2022;;Iveco;Daily;2016;Gelb;YELLOW RAL1018 IC037;Transporter;3;Automatik;2.998 cm³;Diesel (Rußpartikelfilter);Euro 5;4 (Grün);True;False;97346 Iphofen;20648;['', 'ABS', 'Anhängerkupplung', 'ESP', 'Extras', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Navigationssystem', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Tempomat', 'Zentralverriegelung'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-passat-variant-1-6-tdi-navi-handyvorbereitung-diesel-schwarz-b42d4791-4d20-447a-a84b-71ba0c004694?;Deutschland;2020-10-19 18:03:39.603942;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;Volkswagen;Passat Variant;2019;Schwarz;Deep Black Perleffekt;Kombi;5;Automatik;1.598 cm³;Diesel;Euro 6;4 (Grün);True;False;06120 Halle;26989;['', 'ABS', 'Abstandstempomat', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Taxi oder Mietwagen', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'teilb. Rücksitzbank'];1;Ja;12 Monate;49541;Stoff, Schwarz;5;0603/BQY;Deutsche Ausführung;7;4;1.486 kg;Front;0 l/100 km (komb)0 l/100 km (innerorts)0 l/100 km (außerorts);0 g CO2/km (komb);Volkswagen Passat Variant;88 kW / 120 PS;24.906 km;Automatik;0.0 l/100 km (komb);Händler;46 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;;;;;
/angebote/toyota-c-hr-hybrid-team-deutschland-ax1-elektro-benzin-schwarz-640bdbac-bbee-4141-a4b5-4445d5366be6?;Deutschland;2020-10-19 18:03:39.604725;Tageszulassung;10/2022;;Toyota;C-HR;2020;Schwarz;Mysticschwarz Mica;SUV/Geländewagen/Pickup;5;Automatik;1.798 cm³;Super 95 / Super Plus 98 / Super E10 95;Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;24555;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Ja;60 Monate;R036152_2624;Stoff, Schwarz;5;5013/ALE;Deutsche Ausführung;1;4;1.420 kg;Front;3,8 l/100 km (komb)3,2 l/100 km (innerorts)4,2 l/100 km (außerorts);86 g CO2/km (komb);;;;;;;;;;;;;;In 1 Tag ab Bestellung;;Strom;;;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-ec714092-45ed-4d4e-a00d-4cbef7a132c0?;Deutschland;2020-10-19 18:03:39.610122;Tageszulassung;10/2022;;Toyota;C-HR;2020;Grau;Metalstreamgrau metallic / Dac;SUV/Geländewagen/Pickup;5;Automatik;1.987 cm³;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Ja;60 Monate;R016911_2634;Stoff, Schwarz;5;5013/AOF;Deutsche Ausführung;1;4;1.420 kg;Front;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);;;;;;;;;;;;;;In 2 Tagen ab Bestellung;;Strom;Metallic;;
/angebote/volkswagen-golf-sportsvan-1-0-tsi-iq-drive-6d-temp-ahk-navi-acc-benzin-silber-1622ad6a-748d-4cbe-a93e-1eeeb7a6a415?;Deutschland;2020-10-19 18:03:39.608530;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;Volkswagen;Golf Sportsvan;2019;Silber;Reflexsilber Metallic;Van/Kleinbus;5;Schaltgetriebe;999 cm³;Benzin;Euro 6d-TEMP;4 (Grün);True;False;91058 Erlangen;18960;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];1;Ja;60 Monate;3216-20;Stoff, Schwarz;4;0603/BVX;Deutsche Ausführung;;3;;Front;5,1 l/100 km (komb)5,8 l/100 km (innerorts)4,7 l/100 km (außerorts);115 g CO2/km (komb);Volkswagen Golf Sportsvan;85 kW / 116 PS;13.950 km;Schaltgetriebe;5.1 l/100 km (komb);Händler;52 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;;;Metallic;;
/angebote/toyota-c-hr-hybrid-team-deutschland-ax1-elektro-benzin-grau-5b9187e7-e062-4478-978f-52d6e86a54f8?;Deutschland;2020-10-19 18:03:39.615519;Tageszulassung;10/2022;;Toyota;C-HR;2020;Grau;Marlingrau Metallic;SUV/Geländewagen/Pickup;5;Automatik;1.798 cm³;Super 95 / Super Plus 98 / Super E10 95;Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;24555;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Ja;60 Monate;R003558_2622;Stoff, Schwarz;5;5013/ALE;Deutsche Ausführung;1;4;1.420 kg;Front;3,8 l/100 km (komb)3,2 l/100 km (innerorts)4,2 l/100 km (außerorts);86 g CO2/km (komb);;;;;;;;;;;;;;In 1 Tag ab Bestellung;;Strom;Metallic;;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-blau-eaf2bba0-79a2-49a1-8570-9ce9ba39e85d?;Deutschland;2020-10-19 18:03:39.605822;Tageszulassung;10/2022;;Toyota;C-HR;2020;Blau;Sodalithblau metallic / Dach s;SUV/Geländewagen/Pickup;5;Automatik;1.987 cm³;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;25880;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Ja;60 Monate;R011917_2629;Stoff, Schwarz;5;5013/AOF;Deutsche Ausführung;1;4;1.420 kg;Front;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);;;;;;;;;;;;;;In 2 Tagen ab Bestellung;;Strom;Metallic;;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-34c5429a-927f-430d-ad3f-52cf3ff44023?;Deutschland;2020-10-19 18:03:39.602384;Tageszulassung;10/2022;;Toyota;C-HR;2020;Grau;Marlingrau metallic / Dach sch;SUV/Geländewagen/Pickup;5;Automatik;1.987 cm³;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Euro 6d-TEMP;4 (Grün);True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;Ja;60 Monate;R011518_2633;Stoff, Schwarz;5;5013/AOF;Deutsche Ausführung;1;4;1.420 kg;Front;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);;;;;;;;;;;;;;In 2 Tagen ab Bestellung;;Strom;Metallic;;
/angebote/iveco-daily-35s17-l2h2-hi-matic-3-5t-ahk-navi-klima1hd-diesel-gelb-30a4be39-ff03-4e5c-892c-3aa39ec8c720?;Deutschland;2020-10-19 18:03:39.608139;Gebraucht;08/2022;;Iveco;Daily;2016;Gelb;YELLOW RAL1018 IC037;Van/Kleinbus;3;Automatik;2.998 cm³;Diesel (Rußpartikelfilter);Euro 5;4 (Grün);True;False;97346 Iphofen;20648;['', 'ABS', 'Anhängerkupplung', 'Armlehne', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'Lordosenstütze', 'Luftfederung', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];1;;;;Stoff, Schwarz;4;;Deutsche Ausführung;;;;;;;;;;;;;;;;;;;;;;;;;
