url;country;date;Zustand;Verfügbarkeit;Fahrzeughalter;HU Prüfung;HU/AU neu;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Länderversion;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Antriebsart;Kraftstoff;Andere Energieträger;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;"StromverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Letzter Kundendienst
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/toyota-corolla-1-8-hybrid-club-elektro-benzin-schwarz-1ace33d6-2bb1-4b17-bd86-87c44b1a978b?;Deutschland;2020-10-19 18:03:44.649540;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;In 2 Tagen ab Bestellung;1;10/2022;Ja;24 Monate;;;Toyota;Corolla;17337_1261;2019;Schwarz;Metallic;Mysticschwarz Mica;Stoff;Limousine;5;5;5013/AMU;Deutsche Ausführung;Automatik;1;1.798 cm³;4;1.360 kg;Front;Elektro/Benzin;Strom;3,3 l/100 km (komb)3,6 l/100 km (innerorts)3,2 l/100 km (außerorts);76 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Toyota Corolla;90 kW / 122 PS;15.550 km;Automatik;3.3 l/100 km (komb);Händler;50 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;66953 Pirmasens;20995;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Nebelscheinwerfer', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-ec714092-45ed-4d4e-a00d-4cbef7a132c0?;Deutschland;2020-10-19 18:03:44.655468;Tageszulassung;In 2 Tagen ab Bestellung;;10/2022;Ja;60 Monate;;;Toyota;C-HR;R016911_2634;2020;Grau;Metallic;Metalstreamgrau metallic / Dac;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/AOF;Deutsche Ausführung;Automatik;1;1.987 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Strom;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;
/angebote/toyota-c-hr-hybrid-team-deutschland-ax1-elektro-benzin-rot-81d80fc6-f4c9-4faa-8b6d-3ac6b58051cd?;Deutschland;2020-10-19 18:03:44.666223;Tageszulassung;In 1 Tag ab Bestellung;;10/2022;Ja;60 Monate;;;Toyota;C-HR;R035382_2626;2020;Rot;Metallic;Karminarot Metallic;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/ALE;Deutsche Ausführung;Automatik;1;1.798 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95;Strom;3,8 l/100 km (komb)3,2 l/100 km (innerorts)4,2 l/100 km (außerorts);86 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;66953 Pirmasens;24555;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;
/angebote/hyundai-i20-hyundai-1-2-klima-multifunktionslenkrad-usb-u-benzin-grau-82e648fe-e76d-4e37-9f30-025b34079f8d?;Deutschland;2020-10-19 18:03:44.647359;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;1;;;;;;Hyundai;i20;16443-2;2019;Grau;Metallic;Grau;Stoff, Grau;Limousine;5;5;5984/AAX;;Schaltgetriebe;5;1.248 cm³;4;1.233 kg;;Benzin;;5,8 l/100 km (komb)7,2 l/100 km (innerorts)4,9 l/100 km (außerorts);;Euro 6d-TEMP;4 (Grün);Hyundai i20;55 kW / 75 PS;36.008 km;Schaltgetriebe;5.8 l/100 km (komb);Händler;20 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;27472 Cuxhaven;9990;['', 'ABS', 'Alarmanlage', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'ESP', 'Elektr. Fensterheber', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Komfort', 'Multifunktionslenkrad', 'Notbremsassistent', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;
/angebote/toyota-c-hr-hybrid-team-deutschland-ax1-elektro-benzin-schwarz-640bdbac-bbee-4141-a4b5-4445d5366be6?;Deutschland;2020-10-19 18:03:44.645896;Tageszulassung;In 1 Tag ab Bestellung;;10/2022;Ja;60 Monate;;;Toyota;C-HR;R036152_2624;2020;Schwarz;;Mysticschwarz Mica;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/ALE;Deutsche Ausführung;Automatik;1;1.798 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95;Strom;3,8 l/100 km (komb)3,2 l/100 km (innerorts)4,2 l/100 km (außerorts);86 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;66953 Pirmasens;24555;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;
/angebote/volkswagen-passat-variant-1-6-tdi-navi-handyvorbereitung-diesel-schwarz-b42d4791-4d20-447a-a84b-71ba0c004694?;Deutschland;2020-10-19 18:03:44.645517;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;1;;Ja;12 Monate;;;Volkswagen;Passat Variant;49541;2019;Schwarz;;Deep Black Perleffekt;Stoff, Schwarz;Kombi;5;5;0603/BQY;Deutsche Ausführung;Automatik;7;1.598 cm³;4;1.486 kg;Front;Diesel;;0 l/100 km (komb)0 l/100 km (innerorts)0 l/100 km (außerorts);0 g CO2/km (komb);Euro 6;4 (Grün);Volkswagen Passat Variant;88 kW / 120 PS;24.906 km;Automatik;0.0 l/100 km (komb);Händler;46 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;06120 Halle;26989;['', 'ABS', 'Abstandstempomat', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Taxi oder Mietwagen', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'teilb. Rücksitzbank'];;
/angebote/toyota-c-hr-2-0-hybrid-team-deutschland-elektro-benzin-grau-34c5429a-927f-430d-ad3f-52cf3ff44023?;Deutschland;2020-10-19 18:03:44.643845;Tageszulassung;In 2 Tagen ab Bestellung;;10/2022;Ja;60 Monate;;;Toyota;C-HR;R011518_2633;2020;Grau;Metallic;Marlingrau metallic / Dach sch;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;5013/AOF;Deutsche Ausführung;Automatik;1;1.987 cm³;4;1.420 kg;Front;Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98;Strom;4 l/100 km (komb)3,7 l/100 km (innerorts)4,2 l/100 km (außerorts);92 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;66953 Pirmasens;25899;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];;
/angebote/iveco-daily-35s17-l2h2-hi-matic-3-5t-ahk-navi-klima1hd-diesel-gelb-4aa38944-a587-4a27-ac44-6f403a255051?;Deutschland;2020-10-19 18:03:44.644502;Gebraucht;;;08/2022;;;;;Iveco;Daily;;2016;Gelb;;YELLOW RAL1018 IC037;;Transporter;;3;;;Automatik;;2.998 cm³;;;;Diesel (Rußpartikelfilter);;;;Euro 5;4 (Grün);;;;;;;;;;;;;;True;False;97346 Iphofen;20648;['', 'ABS', 'Anhängerkupplung', 'ESP', 'Extras', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Navigationssystem', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Tempomat', 'Zentralverriegelung'];;
/angebote/hyundai-i20-hyundai-1-2-pdc-hinten-klima-sitzheizung-vorne-benzin-silber-b7b12bf3-8d3a-4b7c-b174-793956a369bf?;Deutschland;2020-10-19 18:03:44.648070;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;1;;;;;;Hyundai;i20;16439-2;2017;Silber;Metallic;Silber;Stoff, Grau;Limousine;5;5;5984/AAW;;Schaltgetriebe;5;1.248 cm³;4;1.055 kg;;Benzin;;5,1 l/100 km (komb)6,6 l/100 km (innerorts)4,2 l/100 km (außerorts);121 g CO2/km (komb);Euro 6;4 (Grün);Hyundai i20;62 kW / 84 PS;40.218 km;Schaltgetriebe;5.1 l/100 km (komb);Händler;28 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;27472 Cuxhaven;10490;['', 'ABS', 'Alarmanlage', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'Einparkhilfe', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;
