url;country;date;Zustand;Garantie;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Länderversion;Getriebeart;Gänge;Hubraum;Antriebsart;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;Fahrzeughalter;HU/AU neu;Lackierung;Schlüsselnummer;Leergewicht;HU Prüfung;Zylinder;Andere Energieträger;Verfügbarkeit;Letzter Kundendienst
/angebote/opel-corsa-e-120-jahre-1-4-turbo-kamera-sensoren-pdc-benzin-weiss-280707cb-f58f-403d-8ffa-02794c414634?;Deutschland;2020-10-19 18:08:21.782608;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;;Opel;Corsa;01890-183;2019;Weiß;SchneeWeiss;Stoff, Schwarz;Kleinwagen;4;5;Deutsche Ausführung;Schaltgetriebe;6;1.364 cm³;Front;Benzin;5,4 l/100 km (komb)6,9 l/100 km (innerorts)4,6 l/100 km (außerorts);125 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Opel Corsa;74 kW / 101 PS;16.282 km;Schaltgetriebe;5.4 l/100 km (komb);Händler;43 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;93309 Kelheim;11780;['', 'ABS', 'Beheizbare Frontscheibe', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;
/angebote/ford-mondeo-business-edition-2-0tdci-169-ohne-anzahlung-navi-diesel-silber-598123e2-80b2-4000-b419-ff33d5eeea75?;Deutschland;2020-10-19 18:08:22.785012;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;12 Monate;;;Ford;Mondeo;074-17317;2017;Silber;Polar-Silber Metallic;Stoff, Schwarz;Kombi;4;5;Deutsche Ausführung;Automatik;;1.997 cm³;Front;Diesel;4,8 l/100 km (komb)5,4 l/100 km (innerorts)4,5 l/100 km (außerorts);123 g CO2/km (komb);Euro 6;4 (Grün);Ford Mondeo;110 kW / 150 PS;80.850 km;Automatik;4.8 l/100 km (komb);Händler;53 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;32805 Horn-Bad Meinberg;14573;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'Dachreling', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];2;Ja;Metallic;8566/BJB;1.597 kg;;;;;
/angebote/ford-kuga-titanium-navi-teilleder-scheckheft-panarom-diesel-schwarz-fb8e5c18-5b0b-4841-b16c-b0ee167bab2e?;Deutschland;2020-10-19 18:08:23.787299;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;;Ford;Kuga;;2009;Schwarz;Panther-Schwarz Metallic;Teilleder, Schwarz;SUV/Geländewagen/Pickup;4;5;;Schaltgetriebe;;1.997 cm³;;Diesel;6,3 l/100 km (komb)8 l/100 km (innerorts)5,3 l/100 km (außerorts);167 g CO2/km (komb);Euro 4;4 (Grün);Ford Kuga;100 kW / 136 PS;160.500 km;Schaltgetriebe;6.3 l/100 km (komb);Händler;44 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;42283 Wuppertal;8000;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];2;;Metallic;;;02/2022;;;;
/angebote/peugeot-206-cc-hdi-diesel-silber-5ff741b0-f568-4744-a11c-acff52ffdecf?;Deutschland;2020-10-19 18:08:24.789284;Gebraucht;;;;Peugeot;206;;2006;Silber;;Vollleder, Schwarz;Cabrio;2;4;;Schaltgetriebe;5;1.560 cm³;;Diesel;4,9 l/100 km (komb)4,2 l/100 km (außerorts);129 g CO2/km (komb);Euro 4;4 (Grün);;;;;;;;;;;;;;True;False;53913 Swisttal;1299;['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'MP3', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sommerreifen', 'Sportsitze', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Windschott(für Cabrio)', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];2;;Metallic;3003/150;1.285 kg;07/2021;4;;;
/angebote/volkswagen-tiguan-highl-2-0tdi-dsg-384-ohne-anzahlung-neu-56-125-diesel-blau-53d85345-a387-4c00-ad8c-6f4ac969aee3?;Deutschland;2020-10-19 18:08:25.791537;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;12 Monate;;;Volkswagen;Tiguan;V523-17391;2019;Blau;Atlantik Blue Metallic/Atlant;Stoff, Schwarz;SUV/Geländewagen/Pickup;4;5;Deutsche Ausführung;Automatik;;1.968 cm³;Allrad;Diesel;5,4 l/100 km (komb)6,2 l/100 km (innerorts)5,1 l/100 km (außerorts);143 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Volkswagen Tiguan;110 kW / 150 PS;8.482 km;Automatik;5.4 l/100 km (komb);Händler;73 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;32760 Detmold;32949;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beheizbare Frontscheibe', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Spurhalteassistent', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];1;Ja;Metallic;0603/BZH;1.793 kg;;4;;;
/angebote/audi-a3-1-6-ambiente-kupplung-neu-tuev-au-neu-benzin-rot-a62108b2-e129-d044-e053-0100007fffae?;Deutschland;2020-10-19 18:08:26.793117;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;;Audi;A3;;2001;Rot;;;Limousine;3;5;;Schaltgetriebe;5;1.595 cm³;;Benzin;6,8 l/100 km (komb)9,6 l/100 km (innerorts)5,3 l/100 km (außerorts);163 g CO2/km (komb);;;Audi A3;75 kW / 102 PS;150.200 km;Schaltgetriebe;6.8 l/100 km (komb);Händler;15 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;76275 Ettlingen;2200;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Komfort', 'Lederlenkrad', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Wegfahrsperre', 'Zentralverriegelung'];;;;0588/743;1.090 kg;10/2022;4;;;
/angebote/seat-leon-cupra-r-5-tuerig-klimaautomatik-benzin-schwarz-1b43f763-e3b6-44ef-987e-65f19c87ca6b?;Deutschland;2020-10-19 18:08:27.795103;Gebraucht;;;;SEAT;Leon;AF041526;2010;Schwarz;Black Magic Perleffekt;Velours;Limousine;5;5;;Schaltgetriebe;6;1.984 cm³;Front;Super Plus 98;;;Euro 5;4 (Grün);;;;;;;;;;;;;;True;False;35452 Heuchelheim;7999;['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'MP3', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sportfahrwerk', 'Sportsitze', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;;Metallic;7593/AEM;;03/2022;4;;;
/angebote/volkswagen-polo-allstar-1-2tsi-dsg149-ohne-anzahlung-navi-tempom-benzin-rot-15f621f8-608f-4eb7-9303-60f4dd615932?;Deutschland;2020-10-19 18:08:28.798117;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;12 Monate;;;Volkswagen;Polo;538-17367;2016;Rot;Flash-Rot;Stoff, Schwarz;Kleinwagen;4;5;Deutsche Ausführung;Automatik;;1.197 cm³;Front;Benzin;4,7 l/100 km (komb)5,9 l/100 km (innerorts)4 l/100 km (außerorts);111 g CO2/km (komb);Euro 6;4 (Grün);Volkswagen Polo;66 kW / 90 PS;43.267 km;Automatik;4.7 l/100 km (komb);Händler;45 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;32760 Detmold;12949;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Lichtsensor', 'MP3', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];1;Ja;;0603/BEB;1.107 kg;;;;;
/angebote/volkswagen-up-gti-panorama-climatronic-sitzhzg-benzin-weiss-70b3af66-59fe-4dca-ba99-6abeeec072d1?;Deutschland;2020-10-19 18:08:29.799884;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;;Volkswagen;up!;5826;2018;Weiß;pure white;Stoff, Schwarz;Limousine;5;4;;Schaltgetriebe;6;999 cm³;Front;Benzin;;;Euro 6;4 (Grün);Volkswagen up!;85 kW / 116 PS;39.580 km;Schaltgetriebe;Nicht angegeben;Händler;33 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;38229 Salzgitter;12950;['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Bluetooth', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Tagfahrlicht', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Panoramadach', 'Radio', 'Reifendruckkontrollsystem', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];1;;;0603/CEG;;04/2021;3;;;
/angebote/mercedes-benz-gle-400-400d-coupe-4m-amg-line-pano-night-airmatic-360-a-diesel-schwarz-763df386-44a5-4a0b-90f1-5f3795bba385?;Deutschland;2020-10-19 18:08:30.802005;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;;;;Mercedes-Benz;GLE 400;G3126;2020;Schwarz;OBSIDIANSCHWARZ -;Vollleder, Schwarz;Coupé;5;5;;Automatik;9;2.925 cm³;Allrad;Diesel;6,9 l/100 km (komb)8,5 l/100 km (innerorts)5,9 l/100 km (außerorts);182 g CO2/km (komb);Euro 6d;4 (Grün);Mercedes-Benz GLE 400;243 kW / 330 PS;6.780 km;Automatik;6.9 l/100 km (komb);Händler;73 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;53489 Sinzig;89970;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Head-up display', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Luftfederung', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzbelüftung', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Standheizung', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];1;;Metallic;2222/AFJ;2.295 kg;;6;;;
