url;country;date;Zustand;Marke;Modell;Erstzulassung;Außenfarbe;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;haendler;privat;ort;price;ausstattung_liste;HU Prüfung;Fahrzeughalter;Letzter Kundendienst;Scheckheftgepflegt;Nichtraucherfahrzeug;Innenausstattung;Antriebsart;Garantie;Lackierung;Farbe laut Hersteller;Schlüsselnummer;Angebotsnummer;Feinstaubplakette;Länderversion
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/bmw-320-3er-dpf-diesel-schwarz-d6510ab2-c682-7924-e053-0100007f8e2a?;Oesterreich;2020-10-19 19:32:08.217438;Gebraucht;BMW;320;2006;Schwarz;Limousine;4;5;Schaltgetriebe;6;1.995 cm³;4;1.430 kg;Diesel (Rußpartikelfilter);5,7 l/100 km (komb)7,8 l/100 km (innerorts)4,5 l/100 km (außerorts);153 g CO2/km (komb);Euro 4;False;True;5724 Stuhlfelden;5900;['', 'ABS', 'Armlehne', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Isofix', 'Klimaanlage', 'Komfort', 'Kopfairbag', 'Notrad', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Stahlfelgen', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;;;;;;;;;;
/angebote/honda-civic-1-4i-gt-benzin-rot-d6510ab2-c182-7924-e053-0100007f8e2a?;Oesterreich;2020-10-19 19:32:08.237216;Gebraucht;Honda;Civic;2010;Rot;Limousine;5;5;Schaltgetriebe;6;1.339 cm³;4;1.055 kg;Benzin;5,9 l/100 km (komb)6,6 l/100 km (innerorts)4,7 l/100 km (außerorts);135 g CO2/km (komb);Euro 4;False;True;6020 Innsbruck;5400;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Pannenkit', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sommerreifen', 'Stahlfelgen', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];04/2021;;;;;;;;;;;;;
/angebote/audi-a3-ambiente-2-0-tdi-quattro-diesel-schwarz-80650ab2-28d6-a22b-e053-0100007fd3e9?;Oesterreich;2020-10-19 19:32:08.247329;Gebraucht;Audi;A3;2013;Schwarz;Limousine;4;5;Schaltgetriebe;6;1.968 cm³;4;1.475 kg;Diesel (Rußpartikelfilter);4,7 l/100 km (komb)5,9 l/100 km (innerorts)4 l/100 km (außerorts);122 g CO2/km (komb);Euro 5;False;True;4407 dietach;14100;['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'MP3', 'Notrad', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank'];;;;;;;;;;;;;;
/angebote/volkswagen-golf-variant-rabbit-1-6-tdi-diesel-weiss-724e0ab2-7c13-1f23-e053-0100007f3886?;Oesterreich;2020-10-19 19:32:08.260386;Gebraucht;Volkswagen;Golf Variant;2017;Weiß;Kombi;5;5;Schaltgetriebe;5;1.598 cm³;4;1.395 kg;Diesel (Rußpartikelfilter);5 l/100 km (komb);103 g CO2/km (komb);Euro 6;False;True;2000 Stockerau;13100;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank'];01/2022;2;02/2020;;;Stoff, Grau;Front;;;;;;;
/angebote/mercedes-benz-c-200-d-avantgarde-diesel-blau-7b9d09b2-1a85-ba5a-e053-0100007fe20a?;Oesterreich;2020-10-19 19:32:08.258386;Gebraucht;Mercedes-Benz;C 200;2017;Blau;Limousine;4;5;Schaltgetriebe;6;1.598 cm³;4;1.485 kg;Diesel (Rußpartikelfilter);3,8 l/100 km (komb);101 g CO2/km (komb);Euro 6;False;True;2000 Stockerau;17990;['', 'ABS', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Elektrische Sitze', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Notrufsystem', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Sicherheit', 'Soundsystem', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media'];;;;;;;;;;;;;;
/angebote/ford-galaxy-ghia-vy-7-sitzer-diesel-grau-6fbc2b57-c42c-46e4-b7cc-895a4119d43c?;Oesterreich;2020-10-19 19:32:08.251900;Gebraucht;Ford;Galaxy;2004;Grau;Van/Kleinbus;5;5;Schaltgetriebe;6;1.896 cm³;4;1.724 kg;Diesel;6,5 l/100 km (komb)8,3 l/100 km (innerorts)5,5 l/100 km (außerorts);176 g CO2/km (komb);;True;False;1100 Wien;3890;['', 'ABS', 'Alufelgen', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'Dachreling', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sommerreifen', 'Standheizung', 'Tempomat', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];02/2021;;;;;Stoff, Schwarz;Front;24 Monate;Metallic;Platinum;8566/528;;;
/angebote/volkswagen-golf-var-vii-1-6-tdi-dsg-comfortline-navi-led-a-navi-diesel-grau-385dcac5-3496-4baa-bb88-54585f19258b?;Oesterreich;2020-10-19 19:32:08.254606;Vorführfahrzeug;Volkswagen;Golf;2019;Grau;Kombi;5;5;Automatik;7;1.598 cm³;;;Diesel (Rußpartikelfilter);4,1 l/100 km (komb)4,5 l/100 km (innerorts)3,9 l/100 km (außerorts);108 g CO2/km (komb);Euro 6;True;False;1100 Wien;23405;['', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];06/2022;2;;;;Schwarz;;;Metallic;indiumgrau;0603/CBJ;13107RGB_VS;4 (Grün);
/angebote/mercedes-benz-sprinter-314-ka-hd-3665-diesel-weiss-3c0bd747-92f8-4714-8a9c-260394962ae2?;Oesterreich;2020-10-19 19:32:08.243601;Gebraucht;Mercedes-Benz;Sprinter;2017;Weiß;Transporter;4;3;Schaltgetriebe;6;2.143 cm³;;;Diesel;;;;True;False;8280 Fürstenfeld;23980;['', 'ABS', 'Armlehne', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'ESP', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Klimaanlage', 'Komfort', 'Radio', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;1;;;;Stoff;Heck;;;;;1-1213;;Österreich
/angebote/volkswagen-sharan-v6-business-4motion-benzin-blau-2fadfa1a-8b85-4701-88f4-501d3a6b1049?;Oesterreich;2020-10-19 19:32:08.233238;Gebraucht;Volkswagen;Sharan;2007;Blau;Van/Kleinbus;5;6;Schaltgetriebe;6;2.792 cm³;6;1.751 kg;Benzin;11 l/100 km (komb)14,9 l/100 km (innerorts)8,7 l/100 km (außerorts);265 g CO2/km (komb);Euro 4;True;False;2604 Theresienfeld;2890;['', 'ABS', 'Airbag hinten', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notrad', 'Radio', 'Regensensor', 'Reserverad', 'Scheinwerferreinigung', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];;;;;;Stoff, Grau;Allrad;;Metallic;;;;;Österreich
