url;country;date;Zustand;Verfügbar ab;Fahrzeughalter;HU/AU neu;Scheckheftgepflegt;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Länderversion;Getriebeart;Gänge;Hubraum;Leergewicht;Antriebsart;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;HU Prüfung;Zylinder;Letzter Kundendienst;Nichtraucherfahrzeug;Garantie
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-tiguan-2-0-tdi-dsg-sport-style-4motion-diesel-grau-52eaba52-52f8-48bd-8388-8579d833f4d4?;Deutschland;2020-10-19 19:32:08.755399;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;23.10.20;3;Ja;;Volkswagen;Tiguan;HEIGW2199;2009;Grau;Metallic;Slate Grey Metallic;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;0603/AKS;Deutsche Ausführung;Automatik;6;1.968 cm³;1.679 kg;Allrad;Diesel;7,1 l/100 km (komb)9,2 l/100 km (innerorts)5,9 l/100 km (außerorts);186 g CO2/km (komb);Euro 5;4 (Grün);Volkswagen Tiguan;103 kW / 140 PS;170.084 km;Automatik;7.1 l/100 km (komb);Händler;37 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;29378 Wittingen;8779;['', 'ABS', 'Alarmanlage', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'Multifunktionslenkrad', 'Radio', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Zentralverriegelung'];;;;;
/angebote/honda-civic-1-4i-gt-benzin-rot-d6510ab2-c182-7924-e053-0100007f8e2a?;Oesterreich;2020-10-19 19:32:13.716984;Gebraucht;;;;;Honda;Civic;;2010;Rot;;;;Limousine;5;5;;;Schaltgetriebe;6;1.339 cm³;1.055 kg;;Benzin;5,9 l/100 km (komb)6,6 l/100 km (innerorts)4,7 l/100 km (außerorts);135 g CO2/km (komb);Euro 4;;;;;;;;;;;;;;;False;True;6020 Innsbruck;5400;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'CD', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Pannenkit', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sommerreifen', 'Stahlfelgen', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];04/2021;4;;;
/angebote/volkswagen-golf-variant-rabbit-1-6-tdi-diesel-weiss-724e0ab2-7c13-1f23-e053-0100007f3886?;Oesterreich;2020-10-19 19:32:13.741665;Gebraucht;;2;;;Volkswagen;Golf Variant;;2017;Weiß;;;Stoff, Grau;Kombi;5;5;;;Schaltgetriebe;5;1.598 cm³;1.395 kg;Front;Diesel (Rußpartikelfilter);5 l/100 km (komb);103 g CO2/km (komb);Euro 6;;;;;;;;;;;;;;;False;True;2000 Stockerau;13100;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank'];01/2022;4;02/2020;;
/angebote/audi-a3-ambiente-2-0-tdi-quattro-diesel-schwarz-80650ab2-28d6-a22b-e053-0100007fd3e9?;Oesterreich;2020-10-19 19:32:13.727607;Gebraucht;;;;;Audi;A3;;2013;Schwarz;;;;Limousine;4;5;;;Schaltgetriebe;6;1.968 cm³;1.475 kg;;Diesel (Rußpartikelfilter);4,7 l/100 km (komb)5,9 l/100 km (innerorts)4 l/100 km (außerorts);122 g CO2/km (komb);Euro 5;;;;;;;;;;;;;;;False;True;4407 dietach;14100;['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'MP3', 'Notrad', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'teilb. Rücksitzbank'];;4;;;
/angebote/mercedes-benz-c-200-d-avantgarde-diesel-blau-7b9d09b2-1a85-ba5a-e053-0100007fe20a?;Oesterreich;2020-10-19 19:32:13.739432;Gebraucht;;;;;Mercedes-Benz;C 200;;2017;Blau;;;;Limousine;4;5;;;Schaltgetriebe;6;1.598 cm³;1.485 kg;;Diesel (Rußpartikelfilter);3,8 l/100 km (komb);101 g CO2/km (komb);Euro 6;;;;;;;;;;;;;;;False;True;2000 Stockerau;17990;['', 'ABS', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Elektrische Sitze', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Notrufsystem', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Sicherheit', 'Soundsystem', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media'];;4;;;
/angebote/ford-galaxy-ghia-vy-7-sitzer-diesel-grau-6fbc2b57-c42c-46e4-b7cc-895a4119d43c?;Oesterreich;2020-10-19 19:32:13.732465;Gebraucht;;;;;Ford;Galaxy;;2004;Grau;Metallic;Platinum;Stoff, Schwarz;Van/Kleinbus;5;5;8566/528;;Schaltgetriebe;6;1.896 cm³;1.724 kg;Front;Diesel;6,5 l/100 km (komb)8,3 l/100 km (innerorts)5,5 l/100 km (außerorts);176 g CO2/km (komb);;;;;;;;;;;;;;;;True;False;1100 Wien;3890;['', 'ABS', 'Alufelgen', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'Dachreling', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sommerreifen', 'Standheizung', 'Tempomat', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];02/2021;4;;;24 Monate
/angebote/seat-altea-xl-chilitech-start-stopp-1-6-cr-tdi-diesel-grau-80570ab2-bde6-5928-e053-0100007fb1e8?;Oesterreich;2020-10-19 19:32:13.703315;Gebraucht;;1;;;SEAT;Altea XL;;2015;Grau;Metallic;;;Kombi;5;5;;;Schaltgetriebe;;;;;Diesel;;;;;;;;;;;;;;;;;;False;True;8200 Gleisdorf;10500;['', 'ABS', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Tagfahrlicht', 'Tempomat', 'Unterhaltung/Media', 'Zentralverriegelung'];;;;;
/angebote/mercedes-benz-sprinter-314-ka-hd-3665-diesel-weiss-3c0bd747-92f8-4714-8a9c-260394962ae2?;Oesterreich;2020-10-19 19:32:13.721056;Gebraucht;;1;;;Mercedes-Benz;Sprinter;1-1213;2017;Weiß;;;Stoff;Transporter;4;3;;Österreich;Schaltgetriebe;6;2.143 cm³;;Heck;Diesel;;;;;;;;;;;;;;;;;;True;False;8280 Fürstenfeld;23980;['', 'ABS', 'Armlehne', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'ESP', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Klimaanlage', 'Komfort', 'Radio', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];;;;;
/angebote/skoda-fabia-elegance-1-9-tdi-pd-diesel-weiss-571608b2-962c-6145-e053-0100007fd0b1?;Oesterreich;2020-10-19 19:32:13.725208;Gebraucht;;;;;Skoda;Fabia;;2000;Weiß;;;;Limousine;5;5;;;Schaltgetriebe;5;1.896 cm³;1.232 kg;;Diesel;4,8 l/100 km (komb)6 l/100 km (innerorts)4,1 l/100 km (außerorts);130 g CO2/km (komb);;;;;;;;;;;;;;;;False;True;9220 Velden;1999;['', 'ABS', 'Alufelgen', 'Anhängerkupplung', 'Beifahrerairbag', 'Bordcomputer', 'CD', 'Dachreling', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Komfort', 'Nebelscheinwerfer', 'Radio', 'Reserverad', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sommerreifen', 'Tagfahrlicht', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Winterreifen', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];;4;;;
