url;country;date;Zustand;Fahrzeughalter;Garantie;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Schlüsselnummer;Länderversion;Getriebeart;Gänge;Hubraum;Leergewicht;Antriebsart;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;haendler;privat;ort;price;ausstattung_liste;HU Prüfung;Scheckheftgepflegt;Nichtraucherfahrzeug;Zylinder;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;HU/AU neu;Letzter Kundendienst
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/seat-ateca-fr-1-benzin-grau-c38cd1e4-a934-4a14-b13b-5e825e96e780?;Deutschland;2020-10-19 19:32:04.221463;Tageszulassung;1;21 Monate;SEAT;Ateca;18560;2020;Grau;Metallic;rodium grau;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;7593/AOB;Deutsche Ausführung;Automatik;7;1.498 cm³;1.374 kg;Front;Super 95;5,4 l/100 km (komb)6,6 l/100 km (innerorts)4,8 l/100 km (außerorts);157 g CO2/km (komb);Euro 6;4 (Grün);True;False;91315 Höchstadt;27762;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'Dachreling', 'ESP', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportsitze', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-tiguan-2-0-tdi-dsg-4m-sport-stylye-pano-navi-xen-eu6-diesel-grau-969f69aa-2851-44f0-ab13-36547abc771a?;Deutschland;2020-10-19 19:32:04.223386;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;2;;Volkswagen;Tiguan;K-055;2015;Grau;Metallic;Kryptongrau;Stoff, Grau;SUV/Geländewagen/Pickup;4;5;0603/BWE;;Automatik;7;1.968 cm³;1.727 kg;Allrad;Diesel;5,7 l/100 km (komb)6,7 l/100 km (innerorts)5 l/100 km (außerorts);151 g CO2/km (komb);Euro 6;4 (Grün);True;False;12353 Berlin;20900;['', 'ABS', 'Allrad', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportpaket', 'Sprachsteuerung', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];10/2022;;;4;Volkswagen Tiguan;135 kW / 184 PS;64.950 km;Automatik;5.7 l/100 km (komb);Händler;57 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;
/angebote/volkswagen-tiguan-2-0-tdi-dsg-comfortline-navi-pdc-shz-diesel-blau-cdeab090-ffb4-45bd-aade-62eefbb63fd4?;Deutschland;2020-10-19 19:32:04.196584;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;Volkswagen;Tiguan;HEIGW2193;2019;Blau;Metallic;Atlantik Blue Metallic;Velours, Schwarz;SUV/Geländewagen/Pickup;5;5;0603/BZG;Deutsche Ausführung;Automatik;7;1.968 cm³;1.645 kg;Front;Diesel;4,9 l/100 km (komb)5,4 l/100 km (innerorts)4,6 l/100 km (außerorts);128 g CO2/km (komb);;4 (Grün);True;False;29378 Wittingen;27479;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Massagesitze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Zentralverriegelung'];;;;;Volkswagen Tiguan;110 kW / 150 PS;43.650 km;Automatik;4.9 l/100 km (komb);Händler;48 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;Ja;
/angebote/volkswagen-golf-vii-1-6-tdi-dsg-comfortl-pano-nav-temp-eu6-diesel-schwarz-b5adf59d-9d4b-46de-bb03-62db46d033a3?;Deutschland;2020-10-19 19:32:04.201151;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;;Volkswagen;Golf;046;2016;Schwarz;;schwarz;Teilleder, Schwarz;Limousine;4;5;0603/BKN;;Automatik;7;1.598 cm³;1.299 kg;Front;Diesel;3,8 l/100 km (komb)4,5 l/100 km (innerorts)3,4 l/100 km (außerorts);100 g CO2/km (komb);Euro 6;4 (Grün);True;False;12353 Berlin;13990;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Panoramadach', 'Radio', 'Reifendruckkontrollsystem', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];04/2021;;;4;Volkswagen Golf;81 kW / 110 PS;106.062 km;Automatik;3.8 l/100 km (komb);Händler;43 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;;11/2019
/angebote/volkswagen-golf-vii-1-0-tsi-iq-drive-parklenk-acc-climatron-klima-benzin-grau-018df15c-bad9-439d-b432-c168ac374c02?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-600-2-0-tdi-3-5to-navi-led-pdc-navi-autom-bc-diesel-grau-75be23c4-c936-49c2-aed7-177a79c550a4?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-golf-vii-1-0-tsi-iq-drive-navi-acc-parklenk-blin-navi-benzin-weiss-b548ffdd-f6e6-4435-93d1-0bfeca55b6c5?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/audi-a6-avant-2-0-tdi-s-tronic-s-line-led-navi-standh-bc-diesel-schwarz-716ac2a4-4b85-4994-90dc-e1ee92b18fe5?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/volkswagen-caddy-maxi-1-4-tsi-dsg-trendline-5-sitzer-navi-r-navi-benzin-gruen-6c7c385f-ef1d-4312-8eff-9799f20066d1?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
