url;country;date;Zustand;Fahrzeughalter;HU Prüfung;Scheckheftgepflegt;Nichtraucherfahrzeug;Marke;Modell;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Hubraum;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;Feinstaubplakette;Marke, Modell;Leistung;Kilometerstand;Getriebe;Kraftstoffverbr.*;Verkäufer;Ausstattung;Region;Serviceleistungen;Spezielle Umbauten;Modellvarianten;Bilder;Fahrzeugbeschreibung;haendler;privat;ort;price;ausstattung_liste;HU/AU neu;Garantie;Angebotsnummer;Schlüsselnummer;Gänge;Zylinder;Leergewicht;Antriebsart;Länderversion;Letzter Kundendienst;Andere Energieträger;"StromverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Letzter Wechsel des Zahnriemens
https://www.autoscout24.de/leasing/angebote/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/angebote/honda-accord-lim-executive-benzin-blau-279424e1-9863-4674-9626-f676ff3a01d3?;Deutschland;2020-10-20 16:20:07.386708;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;10/2022;;;Honda;Accord;2010;Blau;Metallic;ROYAL BLUE P.;Vollleder, Schwarz;Limousine;4;5;Automatik;2.354 cm³;Benzin;7,7 l/100 km (komb)8,8 l/100 km (innerorts)6,6 l/100 km (außerorts);202 g CO2/km (komb);Euro 5;4 (Grün);Honda Accord;148 kW / 201 PS;114.910 km;Automatik;7.7 l/100 km (komb);Händler;37 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;61206 Nieder-Wöllstadt;9800;['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Regensensor', 'Schaltwippen', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportpaket', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung'];;;;;;;;;;;;;
/angebote/mercedes-benz-slc-300-amg-night-distro-pano-ils-comand-hk-hifi-amg-line-benzin-schwarz-cc2e6494-3e21-4584-aef3-9978e7bfa1dc?;Deutschland;2020-10-20 16:20:07.390433;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;10/2022;;;Mercedes-Benz;SLC 300;2019;Schwarz;Metallic;obsidianschwarz;Vollleder, Schwarz;Cabrio;2;2;Automatik;1.991 cm³;Benzin;7 l/100 km (komb)9 l/100 km (innerorts)5,8 l/100 km (außerorts);161 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Mercedes-Benz SLC 300;180 kW / 245 PS;19.989 km;Automatik;7.0 l/100 km (komb);Händler;62 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;67098 Bad Dürkheim;49880;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Notrufsystem', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;0916045;1313/EQR;9;4;1.505 kg;Heck;;;;;
/angebote/volkswagen-touran-highline-2-0-tdi-dsg-navi-rueckfahrkamera-diesel-braun-102bd5eb-1765-4e5d-8560-5a7fb597e6dd?;Deutschland;2020-10-20 16:20:07.392046;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;10/2022;;;Volkswagen;Touran;2017;Braun;Metallic;Nutshell Brown;Stoff, Schwarz;Van/Kleinbus;5;5;Automatik;1.968 cm³;Diesel;4,7 l/100 km (komb)5,4 l/100 km (innerorts)4,3 l/100 km (außerorts);122 g CO2/km (komb);Euro 6;4 (Grün);Volkswagen Touran;140 kW / 190 PS;135.250 km;Automatik;4.7 l/100 km (komb);Händler;59 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;21643 Beckdorf;19990;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;2657;0603/BXY;;4;;Front;;;;;
/angebote/volkswagen-golf-sportsvan-iq-drive-1-0-tsi-scheckheft-benzin-rot-cfbcc99d-db53-422b-9546-9182f07b555d?;Deutschland;2020-10-20 16:20:07.393808;Jahreswagen;1;10/2022;;;Volkswagen;Golf Sportsvan;2019;Rot;Metallic;Cranberry Red;Stoff, Grau;Limousine;5;5;Schaltgetriebe;999 cm³;Super 95;5 l/100 km (komb)6 l/100 km (innerorts)4,4 l/100 km (außerorts);114 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);;;;;;;;;;;;;;True;False;21643 Beckdorf;20590;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'ESP', 'Einparkhilfe', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;2715;0603/BVX;;3;1.328 kg;Front;;;;;
/angebote/kia-ceed-cee-d-ceed-1-6-t-gdi-gpf-gt-benzin-weiss-3a1ce24c-074f-4bfd-a931-acfedeab5975?;Deutschland;2020-10-20 16:20:07.399335;Neu;;;;;Kia;Ceed / cee'd;;Weiß;Metallic;Deluxeweiß Metallic;Teilleder, Schwarz;Limousine;5;5;Schaltgetriebe;;Super 95;6,8 l/100 km (komb)8,7 l/100 km (innerorts)5,7 l/100 km (außerorts);155 g CO2/km (komb);Euro 6;4 (Grün);;;;;;;;;;;;;;True;False;82515 Wolfratshausen;22926;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportsitze', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;15443_LWL;;6;;;Front;EU-Ausführung;;;;
/angebote/dacia-duster-tce-100-4x2-lpg-comfort-pdc-sonderpreis-autogas-lpg-orange-cef1fa66-06b9-48e1-99b6-8f1cfa44f7f7?;Deutschland;2020-10-20 16:20:07.409521;Neu;;;;;Dacia;Duster;;Orange;Metallic;Taklamakan Orange Metallic;Stoff, Schwarz;SUV/Geländewagen/Pickup;5;5;Schaltgetriebe;;Flüssiggas/Autogas (LPG);8,7 l/100 km (komb)10,3 l/100 km (innerorts)7,7 l/100 km (außerorts);141 g CO2/km (komb);Euro 6;4 (Grün);;;;;;;;;;;;;;True;False;82515 Wolfratshausen;14303;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'DAB-Radio', 'Dachreling', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Katalysator', 'Klimaanlage', 'Komfort', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;13993_LWL;;5;;;Front;EU-Ausführung;;;;
/angebote/volkswagen-golf-iq-drive-1-0-tsi-einparkhilfe-panoramadach-benzin-grau-966409d1-42dd-4bd6-bad9-a5c6ee8a479b?;Deutschland;2020-10-20 16:20:07.397829;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;10/2022;;;Volkswagen;Golf;2019;Grau;Metallic;Indiumgrau;Stoff, Schwarz;Limousine;5;5;Schaltgetriebe;999 cm³;Benzin;4,9 l/100 km (komb)5,6 l/100 km (innerorts)4,5 l/100 km (außerorts);111 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Volkswagen Golf;85 kW / 116 PS;15.000 km;Schaltgetriebe;4.9 l/100 km (komb);Händler;51 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;21643 Beckdorf;21390;['', 'ABS', 'Abstandstempomat', 'Alufelgen', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe selbstlenkendes System', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schiebedach', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;2155;0603/BVV;;;1.245 kg;Front;;;;;
/angebote/opel-mokka-x-1-4-automatik-innovation-benzin-schwarz-091e82ff-5d86-4a1b-b23e-9a61b23d4908?;Deutschland;2020-10-20 16:20:07.395801;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.;1;10/2022;;;Opel;Mokka X;2019;Schwarz;Metallic;Diamantschwarzmetallic;Teilleder, Schwarz;SUV/Geländewagen/Pickup;5;5;Automatik;1.364 cm³;Benzin;6,8 l/100 km (komb)8,6 l/100 km (innerorts)5,8 l/100 km (außerorts);157 g CO2/km (komb);Euro 6d-TEMP;4 (Grün);Nicht angegeben;103 kW / 140 PS;26.900 km;Automatik;6.8 l/100 km (komb);Händler;57 Ausstattungsmerkmale;Tipp:Regionale Angebots- und Nachfrageunterschiede können den Preis beeinflussen.;Tipp:Erkundige dich beim Verkäufer nach zusätzlichen Services oder Garantien, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Prüfe das Fahrzeug bei der Besichtigung auf spezielle Umbauten, die unter Umständen einen höheren Preis rechtfertigen.;Tipp:Spezielle Ausstattungspakete, Modellvarianten und Sportversionen fließen aktuell nicht in die Bewertung ein.;Tipp:Inseratsbilder werden nicht in die Preisbewertung mit einbezogen, da eine zuverlässige Auswertung nicht möglich ist.;Tipp:Die Beschreibung des Fahrzeugs fließt nicht in die Bewertung ein, da eine zuverlässige Auswertung nicht möglich ist.;True;False;74363 Güglingen;18900;['', 'ABS', 'Allwetterreifen', 'Alufelgen', 'Android Auto', 'Apple CarPlay', 'Armlehne', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'Dachreling', 'E10-geeignet', 'ESP', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Innenspiegel automatisch abblendend', 'Isofix', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Reserverad', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sprachsteuerung', 'Tagfahrlicht', 'Taxi oder Mietwagen', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Winterpaket', 'Xenonscheinwerfer', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];Ja;;201002;0035/BIP;6;4;1.409 kg;;Deutsche Ausführung;10/2020;Super 95;;
/angebote/kia-proceed-pro-cee-d-proceed-1-6-t-gdi-gpf-7dct-gt-kurzfristig-benzin-grau-286d9e68-bfc8-4053-93be-11b65cd0db36?;Deutschland;2020-10-20 16:20:07.401580;Neu;;;;;Kia;ProCeed / pro_cee'd;;Grau;Metallic;Pentalmetal Metallic;Teilleder, Schwarz;Kombi;5;5;Automatik;;Super 95;5,7 l/100 km (komb)7,1 l/100 km (innerorts)6,2 l/100 km (außerorts);142 g CO2/km (komb);Euro 6d;4 (Grün);;;;;;;;;;;;;;True;False;82515 Wolfratshausen;26760;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beheizbares Lenkrad', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sportsitze', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat', 'Totwinkel-Assistent', 'Touchscreen', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung'];Ja;;15257_LWL;;7;;;Front;EU-Ausführung;;;;
